"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","station"
"139","145","7th & R St NW / Shaw Library","31245","1425654048544","38.912719","-77.022155","true","false","0","","false","true","0","15","1425654048544","7th & R St NW / Shaw Library (31245)"
"140","146","9th & Upshur St NW","31404","1425660682316","38.9418","-77.0251","true","false","0","","false","true","1","13","1425660682316","9th & Upshur St NW (31404)"
"141","147","1st & Rhode Island Ave NW","31506","1425663516479","38.915417","-77.012289","true","false","0","","false","true","7","7","1425663516479","1st & Rhode Island Ave NW (31506)"
"142","148","Columbia Rd & Georgia Ave NW","31115","1425664033241","38.928156","-77.02344","true","false","0","","false","true","4","14","1425664033241","Columbia Rd & Georgia Ave NW (31115)"
"143","149","California St & Florida Ave NW","31116","1425660883181","38.917761","-77.04062","true","false","0","","false","true","11","8","1425660883181","California St & Florida Ave NW (31116)"
"144","150","Benning Rd & East Capitol St NE / Benning Rd Metro","31707","1425636046248","38.889935","-76.93723","true","false","0","","false","true","10","9","1425636046248","Benning Rd & East Capitol St NE / Benning Rd Metro (31707)"
"145","151","3000 Connecticut Ave NW / National Zoo","31307","1425662883670","38.930282","-77.055599","true","false","0","","false","true","8","6","1425662883670","3000 Connecticut Ave NW / National Zoo (31307)"
"146","152","Anacostia Ave & Benning Rd NE / River Terrace ","31708","1425658938071","38.896544","-76.96012","true","false","0","","false","true","7","8","1425658938071","Anacostia Ave & Benning Rd NE / River Terrace  (31708)"
"147","153","M St & Pennsylvania Ave NW","31246","1425662927657","38.905126","-77.056887","true","false","0","","false","true","15","4","1425662927657","M St & Pennsylvania Ave NW (31246)"
"148","154","15th St & Massachusetts Ave SE","31626","1425663904642","38.88732","-76.983569","true","false","0","","false","true","7","8","1425663904642","15th St & Massachusetts Ave SE (31626)"
"149","155","Congress Heights Metro","31806","1425636222171","38.844711","-76.987823","true","false","0","","false","true","8","7","1425636222171","Congress Heights Metro (31806)"
"150","156","N Quincy St & Glebe Rd","31035","1425662965337","38.876393","-77.107735","true","false","0","","false","true","7","4","1425662965337","N Quincy St & Glebe Rd (31035)"
"151","157","Wilson Blvd & N Oakland St","31033","1425651511445","38.8815","-77.10396","true","false","0","","false","true","5","5","1425651511445","Wilson Blvd & N Oakland St (31033)"
